Transaction_ID,User_ID,Order_Date,Product_Category,Revenue,Channel,Region
100038,3904,2025-01-28,SaaS Premium,464.94,Email Campaign,EMEA
100039,4632,2024-08-11,Support Plan,464.94,Direct,LATAM
100040,1474,2024-01-23,SaaS Basic,464.94,Referral,EMEA
100041,2082,2025-10-18,SaaS Premium,464.94,Referral,EMEA
100042,3558,2024-04-19,SaaS Premium,464.94,Organic Search,APAC
100043,4753,2025-12-24,SaaS Basic,464.94,LinkedIn Ad,LATAM
100044,3047,2025-07-06,SaaS Premium,,Organic Search,North America
100045,4547,2025-02-02,SaaS Premium,464.94,Organic Search,LATAM
100046,3747,2024-06-20,SaaS Premium,464.94,Organic Search,North America
100047,1975,2025-11-28,SaaS Basic,464.94,LinkedIn Ad,LATAM
100048,2806,2025-12-26,SaaS Premium,464.94,Referral,APAC
100049,1189,2024-11-01,Support Plan,464.94,Referral,LATAM
100050,4005,2025-07-17,SaaS Basic,464.94,Email Campaign,LATAM
100051,3734,2025-08-04,Consulting,464.94,Email Campaign,North America
100052,4005,2025-12-08,SaaS Basic,464.94,Direct,North America
100053,1562,2024-05-30,SaaS Basic,464.94,Direct,LATAM
100054,2899,2025-03-03,Consulting,464.94,Direct,APAC
100055,4638,2025-09-12,SaaS Basic,464.94,Email Campaign,North America
100056,2267,2025-04-11,SaaS Premium,464.94,Email Campaign,APAC
100057,3879,2025-09-21,SaaS Basic,464.94,Organic Search,North America
100058,2528,2025-08-29,Support Plan,464.94,Referral,EMEA
100059,4202,2025-07-09,SaaS Basic,464.94,Email Campaign,EMEA
100060,4556,2024-03-07,SaaS Premium,464.94,LinkedIn Ad,EMEA
100061,4890,2024-06-04,SaaS Premium,464.94,Organic Search,EMEA
100062,1646,2024-07-24,SaaS Basic,464.94,LinkedIn Ad,EMEA
100063,3068,2024-06-03,SaaS Premium,464.94,LinkedIn Ad,EMEA
100064,3888,2025-11-21,Support Plan,464.94,Referral,APAC
100065,3214,2025-05-23,SaaS Basic,464.94,LinkedIn Ad,APAC
100066,2297,2025-07-25,SaaS Premium,464.94,LinkedIn Ad,North America
100067,3435,2024-03-14,SaaS Premium,464.94,LinkedIn Ad,LATAM
100068,1600,2024-02-18,SaaS Premium,464.94,LinkedIn Ad,LATAM
100069,3363,2025-04-11,SaaS Premium,464.94,Organic Search,LATAM
100070,3061,2025-08-07,Support Plan,464.94,Organic Search,LATAM
100071,1241,2025-12-08,Support Plan,464.94,Referral,EMEA
100072,3041,2024-06-27,Support Plan,464.94,Referral,LATAM
100073,3824,2024-02-17,Consulting,464.94,LinkedIn Ad,EMEA
100074,4417,2024-03-12,SaaS Basic,464.94,Direct,LATAM
100075,3612,2024-04-22,Support Plan,464.94,LinkedIn Ad,North America
100076,3945,2024-06-07,Support Plan,464.94,LinkedIn Ad,APAC
100077,2363,2024-01-30,Support Plan,464.94,Referral,EMEA
100078,3139,2024-04-06,Support Plan,464.94,Email Campaign,APAC
100079,2390,2024-09-07,SaaS Basic,464.94,Referral,LATAM
100080,4003,2025-06-02,SaaS Premium,464.94,Organic Search,APAC
100081,2478,2024-04-01,SaaS Basic,464.94,Referral,LATAM
100082,4499,2024-04-22,SaaS Basic,,Email Campaign,APAC
100083,3556,2024-09-15,SaaS Basic,464.94,LinkedIn Ad,APAC
100084,1775,2024-04-16,Support Plan,464.94,Email Campaign,LATAM
100085,1034,2025-07-28,Support Plan,464.94,Referral,LATAM
100086,3253,2025-01-24,SaaS Basic,464.94,Direct,EMEA
100087,4152,2024-12-23,SaaS Premium,464.94,Organic Search,APAC
100088,2955,2024-07-17,SaaS Premium,464.94,Email Campaign,EMEA
100089,2585,2025-03-02,SaaS Premium,464.94,Referral,LATAM
100090,4943,2025-04-22,SaaS Premium,464.94,LinkedIn Ad,LATAM
100091,4459,2025-05-17,SaaS Basic,464.94,Referral,North America
100092,4073,2025-10-19,SaaS Premium,464.94,LinkedIn Ad,North America
100093,2021,2025-07-26,SaaS Premium,464.94,Direct,North America
100094,4461,2024-04-29,SaaS Basic,464.94,Organic Search,LATAM
100095,3613,2025-07-26,Consulting,464.94,Email Campaign,APAC
100096,2129,2024-11-04,SaaS Premium,464.94,Referral,LATAM
100097,4843,2025-06-21,Support Plan,464.94,Referral,LATAM
100098,4893,2025-09-18,SaaS Premium,464.94,Email Campaign,North America
100099,2500,2025-04-19,SaaS Premium,464.94,LinkedIn Ad,APAC
100100,1702,2025-07-05,SaaS Basic,464.94,Organic Search,EMEA
100101,3449,2024-12-09,Support Plan,464.94,Direct,North America
100102,3777,2025-09-19,SaaS Basic,464.94,Email Campaign,LATAM
100103,2579,2024-05-15,SaaS Basic,464.94,Organic Search,LATAM
100104,1161,2024-10-03,Support Plan,464.94,Referral,APAC
100105,1201,2025-06-16,Consulting,464.94,Organic Search,EMEA
100106,2981,2024-01-31,SaaS Premium,464.94,Direct,APAC
100107,1995,2024-09-03,Consulting,464.94,Organic Search,APAC
100108,3317,2025-02-14,Support Plan,464.94,Referral,EMEA
100109,4934,2024-01-27,Consulting,464.94,Direct,EMEA
100110,1815,2024-03-13,Support Plan,464.94,Direct,North America
100111,4342,2024-04-06,SaaS Basic,464.94,Direct,APAC
100112,1455,2025-11-03,SaaS Premium,464.94,Referral,North America
100113,4533,2024-12-11,SaaS Basic,464.94,LinkedIn Ad,APAC
100114,4798,2025-04-20,SaaS Basic,464.94,Referral,APAC
100115,2275,2024-10-26,Support Plan,464.94,LinkedIn Ad,North America
100116,2016,2024-10-25,Support Plan,464.94,LinkedIn Ad,North America
100117,4773,2024-10-13,Support Plan,464.94,Referral,APAC
100118,3343,2025-03-24,Support Plan,464.94,Organic Search,LATAM
100119,4796,2024-07-30,SaaS Premium,464.94,Referral,EMEA
100120,3767,2024-03-16,Support Plan,464.94,Direct,APAC
100121,4820,2025-02-04,SaaS Premium,464.94,Organic Search,North America
100122,1337,2025-10-16,SaaS Premium,464.94,Email Campaign,LATAM
100123,1878,2024-02-03,SaaS Basic,464.94,Email Campaign,APAC
100124,2076,2025-05-12,SaaS Basic,464.94,Email Campaign,APAC
100125,1791,2025-05-30,Support Plan,464.94,Direct,LATAM
100126,4993,2024-11-23,SaaS Basic,464.94,Internal Test,EMEA
100127,3264,2024-04-07,Support Plan,464.94,LinkedIn Ad,EMEA
100128,1763,2024-12-31,SaaS Premium,464.94,Direct,EMEA
100129,3235,2025-12-29,Support Plan,464.94,LinkedIn Ad,North America
100130,1379,2025-04-07,Consulting,464.94,Email Campaign,EMEA
100131,1492,2024-01-28,Consulting,464.94,Referral,LATAM
100132,4112,2025-12-13,SaaS Premium,464.94,Referral,LATAM
100133,2180,2025-01-20,Consulting,464.94,Direct,APAC
100134,3062,2024-09-29,SaaS Basic,464.94,Email Campaign,EMEA
100135,4884,2024-05-06,Consulting,464.94,Email Campaign,North America
100136,1064,2024-07-20,SaaS Basic,464.94,LinkedIn Ad,LATAM
100137,4928,2025-06-04,SaaS Premium,464.94,LinkedIn Ad,North America
100138,4910,2024-10-13,SaaS Premium,464.94,Email Campaign,LATAM
100139,3568,2025-03-25,SaaS Premium,464.94,Direct,LATAM
100140,2367,2024-03-28,Support Plan,464.94,Direct,LATAM
100141,2152,2024-11-13,SaaS Basic,464.94,Email Campaign,North America
100142,3027,2024-01-19,Support Plan,464.94,Referral,LATAM
100143,3695,2025-08-15,SaaS Basic,464.94,Referral,LATAM
100144,2495,2024-04-16,Support Plan,464.94,LinkedIn Ad,LATAM
100145,4134,2025-04-02,SaaS Premium,464.94,Email Campaign,North America
100146,2162,2024-11-06,SaaS Premium,464.94,Referral,LATAM
100147,2522,2025-02-15,Consulting,464.94,Direct,LATAM
100148,3640,2025-09-15,Consulting,464.94,Organic Search,EMEA
100149,1391,2025-09-26,SaaS Basic,464.94,Organic Search,LATAM
100150,2698,2025-05-12,SaaS Premium,464.94,Email Campaign,APAC
100151,1418,2024-08-31,SaaS Premium,464.94,LinkedIn Ad,APAC
100152,3336,2025-11-20,SaaS Basic,464.94,Organic Search,LATAM
100153,1378,2025-07-30,SaaS Basic,464.94,Direct,LATAM
100154,2796,2025-01-14,SaaS Basic,464.94,Direct,APAC
100155,4561,2025-05-29,SaaS Basic,464.94,Direct,APAC
100156,3278,2024-07-25,SaaS Basic,464.94,Organic Search,North America
100157,4065,2025-01-28,SaaS Premium,464.94,Referral,APAC
100158,3088,2024-01-21,SaaS Basic,464.94,Direct,North America
100159,4099,2025-06-10,Consulting,464.94,LinkedIn Ad,APAC
100160,3182,2024-12-08,SaaS Premium,464.94,Email Campaign,LATAM
100161,1200,2025-12-18,SaaS Premium,464.94,Email Campaign,LATAM
100162,2863,2024-07-20,SaaS Premium,464.94,Email Campaign,APAC
100163,1779,2024-04-29,Support Plan,464.94,Referral,APAC
100164,3977,2025-10-10,SaaS Basic,464.94,Email Campaign,APAC
100165,4104,2025-01-23,SaaS Basic,464.94,Email Campaign,APAC
100166,4119,2025-06-20,SaaS Basic,464.94,Organic Search,LATAM
100167,1502,2024-08-21,Support Plan,464.94,Referral,North America
100168,3454,2025-09-24,SaaS Basic,464.94,Referral,EMEA
100169,4645,2025-08-24,SaaS Premium,464.94,Organic Search,EMEA
100170,2751,2024-11-15,SaaS Basic,464.94,LinkedIn Ad,North America
100171,1804,2025-12-12,Consulting,464.94,Email Campaign,APAC
100172,3146,2024-06-28,SaaS Basic,464.94,LinkedIn Ad,North America
100173,3731,2025-01-02,SaaS Premium,464.94,Organic Search,LATAM
100174,2895,2024-03-16,Support Plan,464.94,Organic Search,North America
100175,3773,2025-10-10,Support Plan,,Organic Search,EMEA
100176,2570,2025-10-11,Support Plan,464.94,Organic Search,North America
100177,1960,2025-05-10,SaaS Premium,464.94,Direct,APAC
100178,4810,2025-06-05,SaaS Premium,464.94,Organic Search,North America
100179,3660,2024-07-19,SaaS Basic,464.94,LinkedIn Ad,EMEA
100180,2485,2024-12-11,Support Plan,464.94,Organic Search,APAC
100181,3690,2025-04-27,Consulting,464.94,LinkedIn Ad,LATAM
100182,4840,2024-08-06,Support Plan,464.94,Organic Search,EMEA
100183,2028,2024-02-29,Support Plan,464.94,Organic Search,APAC
100184,4289,2025-10-20,Consulting,464.94,Direct,APAC
100185,1502,2025-09-10,SaaS Premium,464.94,Organic Search,LATAM
100186,3814,2025-07-03,SaaS Premium,464.94,Email Campaign,EMEA
100187,1397,2025-10-07,SaaS Premium,464.94,Direct,EMEA
100188,1870,2024-08-08,SaaS Premium,464.94,Direct,North America
100189,3842,2025-05-16,SaaS Premium,464.94,Email Campaign,North America
100190,1392,2024-05-12,Consulting,464.94,Direct,APAC
100191,1206,2024-02-22,SaaS Premium,464.94,Organic Search,APAC
100192,2038,2025-03-25,Consulting,464.94,Email Campaign,APAC
100193,2881,2024-03-02,Support Plan,464.94,Organic Search,APAC
100194,4625,2024-01-23,SaaS Premium,464.94,Direct,LATAM
100195,3939,2024-02-13,SaaS Premium,464.94,Referral,North America
100196,2484,2025-07-11,SaaS Premium,464.94,Email Campaign,LATAM
100197,4762,2025-10-20,SaaS Premium,464.94,LinkedIn Ad,LATAM
100198,4646,2025-12-28,SaaS Basic,464.94,Direct,North America
100199,1863,2024-02-16,SaaS Basic,464.94,Referral,EMEA
100200,3790,2024-01-24,SaaS Basic,464.94,Direct,North America
100201,4312,2025-10-18,SaaS Premium,464.94,Organic Search,LATAM
100202,1563,2024-03-29,SaaS Basic,464.94,Organic Search,APAC
100203,2020,2024-06-22,SaaS Basic,464.94,Organic Search,North America
100204,1095,2025-07-29,SaaS Premium,464.94,Referral,LATAM
100205,2923,2024-04-28,SaaS Premium,464.94,Organic Search,LATAM
100206,2757,2025-10-29,Support Plan,,Direct,APAC
100207,3532,2024-06-26,SaaS Premium,464.94,Direct,EMEA
100208,4478,2024-12-07,Support Plan,464.94,Direct,LATAM
100209,3278,2025-07-21,SaaS Premium,464.94,Email Campaign,LATAM
100210,3796,2024-02-28,SaaS Premium,464.94,Direct,EMEA
100211,2678,2025-03-13,SaaS Basic,464.94,Organic Search,LATAM
100212,4242,2025-03-03,Support Plan,464.94,Email Campaign,North America
100213,1540,2025-03-01,Support Plan,464.94,Email Campaign,North America
100214,2059,2025-01-15,SaaS Premium,464.94,Email Campaign,LATAM
100215,3572,2025-04-30,Support Plan,464.94,Email Campaign,LATAM
100216,2183,2024-07-03,SaaS Basic,464.94,Referral,EMEA
100217,4910,2025-07-12,SaaS Premium,464.94,Direct,APAC
100218,2722,2025-04-04,SaaS Premium,464.94,Referral,North America
100219,4314,2024-04-11,SaaS Basic,464.94,LinkedIn Ad,EMEA
100220,4157,2025-07-09,SaaS Basic,464.94,Referral,APAC
100221,2819,2024-01-15,SaaS Premium,464.94,Email Campaign,North America
100222,3625,2024-02-20,Support Plan,464.94,Direct,North America
100223,3729,2024-11-04,Consulting,464.94,Direct,LATAM
100224,3604,2024-02-03,Support Plan,464.94,Organic Search,APAC
100225,2597,2025-09-27,SaaS Basic,464.94,Referral,LATAM
100226,4060,2025-08-11,SaaS Basic,464.94,Direct,EMEA
100227,3693,2025-09-26,SaaS Premium,464.94,LinkedIn Ad,APAC
100228,1795,2024-07-23,SaaS Basic,464.94,LinkedIn Ad,APAC
100229,2051,2024-03-10,Support Plan,464.94,Referral,LATAM
100230,2643,2024-08-17,SaaS Basic,464.94,Organic Search,North America
100231,4627,2025-04-24,SaaS Premium,464.94,LinkedIn Ad,North America
100232,2363,2025-06-16,SaaS Premium,464.94,Organic Search,LATAM
100233,4869,2024-04-17,Support Plan,464.94,Referral,EMEA
100234,2981,2024-08-28,SaaS Premium,464.94,Direct,LATAM
100235,2354,2024-09-07,Support Plan,464.94,Organic Search,APAC
100236,2663,2024-05-14,SaaS Basic,464.94,LinkedIn Ad,North America
100237,2529,2024-03-30,SaaS Basic,464.94,Organic Search,EMEA
100238,3038,2025-08-13,Consulting,464.94,Direct,APAC
100239,4419,2025-03-15,SaaS Premium,464.94,Direct,LATAM
100240,2496,2025-11-19,SaaS Basic,464.94,LinkedIn Ad,North America
100241,4302,2024-10-24,SaaS Premium,464.94,Organic Search,EMEA
100242,3237,2025-02-10,SaaS Basic,464.94,Organic Search,North America
100243,4296,2024-11-03,SaaS Premium,464.94,Email Campaign,EMEA
100244,2408,2024-04-11,SaaS Premium,464.94,LinkedIn Ad,LATAM
100245,2400,2024-12-26,Support Plan,464.94,Organic Search,EMEA
100246,2306,2025-09-15,SaaS Basic,464.94,Referral,APAC
100247,3680,2025-11-23,SaaS Premium,464.94,Email Campaign,North America
100248,3675,2025-09-07,SaaS Basic,464.94,LinkedIn Ad,EMEA
100249,1972,2025-06-11,SaaS Basic,464.94,Direct,APAC
100250,2768,2025-08-30,SaaS Basic,464.94,LinkedIn Ad,North America
100251,2282,2024-10-19,Support Plan,464.94,Referral,LATAM
100252,4430,2024-05-25,Consulting,464.94,Referral,APAC
100253,1709,2025-02-07,SaaS Premium,464.94,Direct,APAC
100254,2479,2024-01-02,SaaS Basic,464.94,Direct,North America
100255,2434,2024-04-28,SaaS Premium,464.94,Direct,LATAM
100256,1648,2025-08-28,SaaS Premium,464.94,Email Campaign,EMEA
100257,1317,2024-07-09,Support Plan,464.94,Referral,APAC
100258,4748,2024-01-03,SaaS Basic,464.94,Direct,North America
100259,4296,2025-05-01,Support Plan,464.94,Referral,North America
100260,4890,2025-09-14,SaaS Premium,464.94,Email Campaign,North America
100261,2257,2024-06-25,SaaS Premium,464.94,Email Campaign,EMEA
100262,1683,2024-09-13,SaaS Premium,464.94,Referral,North America
100263,1663,2025-06-17,SaaS Premium,464.94,Direct,EMEA
100264,2998,2025-04-21,Consulting,464.94,LinkedIn Ad,LATAM
100265,4898,2025-02-01,SaaS Basic,464.94,Organic Search,EMEA
100266,4445,2025-05-10,SaaS Basic,464.94,Referral,North America
100267,4743,2024-08-07,SaaS Basic,464.94,Email Campaign,North America
100268,2631,2024-06-21,Consulting,464.94,Direct,APAC
100269,2495,2025-01-24,Support Plan,464.94,Organic Search,EMEA
100270,4304,2025-05-16,SaaS Basic,464.94,Referral,APAC
100271,4763,2025-07-30,Support Plan,464.94,LinkedIn Ad,EMEA
100272,2136,2024-09-16,SaaS Basic,464.94,LinkedIn Ad,North America
100273,2853,2024-05-10,Consulting,464.94,Email Campaign,APAC
100274,2520,2024-04-22,Support Plan,464.94,Email Campaign,APAC
100275,3489,2025-12-23,SaaS Premium,464.94,Email Campaign,LATAM
100276,1563,2024-01-20,SaaS Basic,464.94,Referral,LATAM
100277,2291,2024-08-02,Support Plan,464.94,LinkedIn Ad,North America
100278,4581,2024-11-05,SaaS Basic,464.94,LinkedIn Ad,North America
100279,4878,2024-09-07,Support Plan,464.94,Email Campaign,APAC
100280,4457,2025-05-02,SaaS Premium,464.94,Email Campaign,LATAM
100281,4458,2025-01-16,SaaS Basic,464.94,Direct,North America
100282,4184,2025-02-12,Support Plan,464.94,LinkedIn Ad,North America
100283,2636,2024-09-27,SaaS Basic,464.94,Email Campaign,LATAM
100284,4696,2025-02-10,SaaS Basic,464.94,Email Campaign,LATAM
100285,3999,2025-11-22,SaaS Premium,464.94,Email Campaign,EMEA
100286,4152,2024-07-12,SaaS Premium,464.94,Direct,North America
100287,1698,2025-03-16,SaaS Basic,464.94,LinkedIn Ad,LATAM
100288,3160,2024-11-08,Support Plan,464.94,LinkedIn Ad,EMEA
100289,1001,2024-03-19,Support Plan,464.94,LinkedIn Ad,LATAM
100290,1641,2024-06-28,SaaS Basic,464.94,Direct,EMEA
100291,3267,2025-11-05,Support Plan,464.94,Referral,North America
100292,2589,2025-12-14,Consulting,464.94,Direct,LATAM
100293,1854,2024-01-14,Consulting,464.94,Organic Search,LATAM
100294,2759,2024-09-02,Consulting,464.94,Direct,North America
100295,4296,2024-01-14,SaaS Basic,464.94,Organic Search,APAC
100296,3432,2024-04-08,SaaS Basic,464.94,Email Campaign,EMEA
100297,4474,2024-02-02,SaaS Premium,464.94,Organic Search,EMEA
100298,2661,2025-03-11,Support Plan,464.94,Direct,LATAM
100299,2153,2024-09-13,SaaS Premium,,Referral,North America
100300,2076,2024-02-03,SaaS Premium,464.94,LinkedIn Ad,North America
100301,2707,2024-01-19,SaaS Basic,464.94,Direct,APAC
100302,3777,2025-10-25,Support Plan,464.94,LinkedIn Ad,North America
100303,2695,2024-09-16,Consulting,464.94,Organic Search,North America
100304,2733,2025-11-06,SaaS Premium,464.94,Email Campaign,APAC
100305,2439,2025-08-11,Consulting,464.94,Email Campaign,EMEA
100306,3294,2025-02-19,Support Plan,464.94,Direct,North America
100307,1835,2024-05-16,SaaS Basic,464.94,Organic Search,North America
100308,4510,2024-12-24,SaaS Basic,464.94,Organic Search,EMEA
100309,1202,2025-12-20,SaaS Basic,464.94,LinkedIn Ad,EMEA
100310,4255,2025-08-01,SaaS Premium,464.94,Organic Search,APAC
100311,1122,2024-04-25,Support Plan,464.94,Referral,EMEA
100312,1400,2025-02-07,Consulting,464.94,Email Campaign,North America
100313,1766,2024-07-20,Consulting,464.94,Referral,EMEA
100314,1293,2025-01-10,SaaS Basic,464.94,Referral,LATAM
100315,3327,2024-09-06,Support Plan,464.94,LinkedIn Ad,APAC
100316,4908,2025-03-21,SaaS Premium,464.94,Organic Search,North America
100317,3931,2024-10-04,SaaS Premium,464.94,LinkedIn Ad,APAC
100318,4681,2024-04-21,SaaS Premium,464.94,Email Campaign,APAC
100319,1197,2025-04-17,Consulting,464.94,LinkedIn Ad,APAC
100320,4029,2025-11-18,Consulting,464.94,Referral,APAC
100321,2930,2025-01-26,SaaS Basic,464.94,LinkedIn Ad,APAC
100322,4582,2024-05-22,SaaS Basic,464.94,Organic Search,EMEA
100323,3799,2024-02-01,SaaS Premium,464.94,LinkedIn Ad,APAC
100324,3191,2024-06-29,SaaS Premium,464.94,Organic Search,APAC
100325,1608,2025-08-01,SaaS Premium,464.94,Referral,APAC
100326,4272,2025-05-30,SaaS Basic,464.94,Organic Search,LATAM
100327,2147,2024-09-25,Support Plan,464.94,Organic Search,North America
100328,1186,2024-08-23,Consulting,464.94,Organic Search,APAC
100329,4397,2024-10-03,SaaS Premium,464.94,Organic Search,LATAM
100330,3511,2025-07-06,SaaS Premium,464.94,Email Campaign,North America
100331,4420,2025-09-24,Support Plan,464.94,Direct,EMEA
100332,2794,2024-10-01,SaaS Premium,464.94,Email Campaign,APAC
100333,1659,2024-03-26,SaaS Premium,464.94,LinkedIn Ad,APAC
100334,3811,2024-03-03,SaaS Premium,464.94,Email Campaign,LATAM
100335,4002,2025-02-07,SaaS Basic,464.94,Email Campaign,APAC
100336,2955,2024-07-10,SaaS Premium,464.94,Organic Search,EMEA
100337,3450,2024-10-19,SaaS Premium,464.94,LinkedIn Ad,North America
100338,2369,2024-01-31,SaaS Basic,464.94,LinkedIn Ad,LATAM
100339,2986,2024-11-25,SaaS Premium,464.94,Referral,LATAM
100340,2534,2025-10-19,SaaS Premium,464.94,Organic Search,APAC
100341,1146,2024-04-16,Consulting,464.94,Email Campaign,EMEA
100342,4219,2025-09-13,Support Plan,464.94,Referral,EMEA
100343,3911,2024-10-02,SaaS Premium,464.94,Referral,APAC
100344,2734,2025-12-22,SaaS Premium,464.94,Email Campaign,North America
100345,2843,2025-10-12,SaaS Premium,464.94,LinkedIn Ad,North America
100346,1488,2025-08-20,SaaS Basic,464.94,Organic Search,LATAM
100347,3976,2025-07-09,Support Plan,464.94,Organic Search,EMEA
100348,2959,2024-03-22,SaaS Premium,464.94,Email Campaign,EMEA
100349,2663,2024-03-04,SaaS Basic,464.94,Organic Search,North America
100350,3598,2025-07-20,SaaS Premium,464.94,Direct,North America
100351,3385,2025-08-08,SaaS Basic,464.94,Referral,LATAM
100352,3919,2024-05-08,SaaS Premium,464.94,Referral,LATAM
100353,1640,2024-09-12,Support Plan,464.94,Direct,EMEA
100354,2802,2024-08-18,SaaS Basic,464.94,Organic Search,LATAM
100355,3520,2025-05-11,SaaS Premium,464.94,LinkedIn Ad,LATAM
100356,2969,2024-05-16,Support Plan,464.94,Direct,North America
100357,3198,2025-03-30,SaaS Premium,464.94,Direct,APAC
100358,2438,2024-12-20,SaaS Premium,464.94,Referral,North America
100359,4369,2025-09-15,Support Plan,464.94,LinkedIn Ad,North America
100360,2634,2025-04-29,SaaS Premium,464.94,LinkedIn Ad,North America
100361,1262,2024-05-25,Support Plan,464.94,Organic Search,APAC
100362,2787,2024-02-02,SaaS Basic,464.94,LinkedIn Ad,APAC
100363,3191,2024-09-16,Support Plan,464.94,Organic Search,APAC
100364,3393,2024-03-27,Consulting,464.94,Email Campaign,EMEA
100365,1623,2024-09-21,SaaS Premium,464.94,Direct,APAC
100366,2016,2025-06-25,Support Plan,464.94,Direct,North America
100367,4643,2025-01-26,SaaS Premium,464.94,Organic Search,North America
100368,1880,2024-08-19,SaaS Basic,464.94,Organic Search,EMEA
100369,3049,2025-08-10,SaaS Basic,464.94,Organic Search,LATAM
100370,3944,2025-03-22,Consulting,464.94,Direct,EMEA
100371,2327,2024-05-08,Consulting,464.94,Organic Search,North America
100372,3301,2024-09-27,Support Plan,464.94,Direct,North America
100373,4723,2024-03-29,Support Plan,464.94,Direct,APAC
100374,1452,2025-04-10,Support Plan,464.94,Referral,EMEA
100375,4108,2024-06-18,SaaS Basic,464.94,Referral,APAC
100376,2183,2024-05-07,Support Plan,464.94,Email Campaign,LATAM
100377,4062,2024-06-22,Consulting,464.94,Email Campaign,APAC
100378,3056,2024-01-26,Support Plan,464.94,LinkedIn Ad,APAC
100379,4304,2025-07-26,Support Plan,464.94,Organic Search,APAC
100380,4170,2025-05-25,SaaS Premium,464.94,Direct,LATAM
100381,2682,2025-05-02,SaaS Premium,464.94,LinkedIn Ad,APAC
100382,3863,2025-08-01,Support Plan,464.94,Referral,North America
100383,3255,2025-02-09,SaaS Premium,464.94,Direct,LATAM
100384,2154,2024-01-26,SaaS Basic,464.94,LinkedIn Ad,APAC
100385,1403,2024-03-23,Support Plan,464.94,Referral,EMEA
100386,3199,2024-12-29,SaaS Premium,464.94,Email Campaign,EMEA
100387,3101,2025-01-01,Support Plan,464.94,Organic Search,APAC
100388,4191,2024-02-29,Support Plan,464.94,Organic Search,EMEA
100389,2696,2025-07-04,SaaS Premium,464.94,LinkedIn Ad,EMEA
100390,4991,2025-09-26,Consulting,464.94,Internal Test,LATAM
100391,1627,2024-10-18,SaaS Premium,464.94,LinkedIn Ad,LATAM
100392,1586,2024-07-09,Consulting,464.94,Referral,North America
100393,2648,2025-04-05,SaaS Basic,464.94,Referral,LATAM
100394,2443,2025-10-25,Support Plan,464.94,Organic Search,North America
100395,2445,2024-08-20,SaaS Premium,464.94,Email Campaign,APAC
100396,1103,2025-04-18,SaaS Basic,464.94,Email Campaign,LATAM
100397,4923,2025-02-08,Consulting,464.94,Direct,North America
100398,1253,2025-10-19,SaaS Premium,464.94,Referral,LATAM
100399,4298,2024-09-27,Support Plan,464.94,Organic Search,APAC
100400,4183,2024-05-13,Support Plan,464.94,Referral,EMEA
100401,3557,2024-06-19,SaaS Basic,464.94,Direct,EMEA
100402,2496,2025-02-18,Consulting,464.94,Organic Search,North America
100403,1098,2024-01-28,SaaS Basic,464.94,Referral,LATAM
100404,3200,2024-05-15,SaaS Basic,464.94,Email Campaign,EMEA
